date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:18:24	10378/10378	---M--	404	error ('Not%20Found')	text/html	etag:W/%22288a-+nxojiK48sWjCbjDt3kdGxKv9uU%22	https://the-example-app-nodejs.contentful.com/robots.txt		(from )
13:18:24	10930/10930	---M--	200	added ('OK')	text/html	etag:W/%222ab2-wJd8yMeTxdh0QcS2VJEbHya3QEQ%22	https://the-example-app-nodejs.contentful.com/	C:/My%20Web%20Sites/exampleApp/the-example-app-nodejs.contentful.com/index.html	(from )
13:18:25	34765/34765	---M--	200	added ('OK')	text/css	etag:W/%2287cd-161bd0123c0%22	https://the-example-app-nodejs.contentful.com/stylesheets/style.css	C:/My%20Web%20Sites/exampleApp/the-example-app-nodejs.contentful.com/stylesheets/style.css	(from https://the-example-app-nodejs.contentful.com/)
13:18:27	51750/51750	---M--	200	added ('OK')	image/jpeg	etag:W/%22ca26-15f96eeeed0%22	http://contentful-example-app.herokuapp.com/og-image.jpg	C:/My%20Web%20Sites/exampleApp/contentful-example-app.herokuapp.com/og-image.jpg	(from https://the-example-app-nodejs.contentful.com/)
13:18:27	1569/1569	---M--	200	added ('OK')	image/png	etag:W/%22621-161bd0123c0%22	https://the-example-app-nodejs.contentful.com/apple-touch-icon.png	C:/My%20Web%20Sites/exampleApp/the-example-app-nodejs.contentful.com/apple-touch-icon.png	(from https://the-example-app-nodejs.contentful.com/)
13:18:28	774/774	---M--	200	added ('OK')	image/png	etag:W/%22306-161bd0123c0%22	https://the-example-app-nodejs.contentful.com/favicon-32x32.png	C:/My%20Web%20Sites/exampleApp/the-example-app-nodejs.contentful.com/favicon-32x32.png	(from https://the-example-app-nodejs.contentful.com/)
13:18:28	477/477	---M--	200	added ('OK')	image/png	etag:W/%221dd-161bd0123c0%22	https://the-example-app-nodejs.contentful.com/favicon-16x16.png	C:/My%20Web%20Sites/exampleApp/the-example-app-nodejs.contentful.com/favicon-16x16.png	(from https://the-example-app-nodejs.contentful.com/)
13:18:28	279/279	---M--	200	added ('OK')	application/json	etag:W/%22117-161bd0123c0%22	https://the-example-app-nodejs.contentful.com/manifest.json	C:/My%20Web%20Sites/exampleApp/the-example-app-nodejs.contentful.com/manifest.json	(from https://the-example-app-nodejs.contentful.com/)
13:18:29	932/932	---M--	200	added ('OK')	image/svg+xml	etag:W/%223a4-161bd0123c0%22	https://the-example-app-nodejs.contentful.com/safari-pinned-tab.svg	C:/My%20Web%20Sites/exampleApp/the-example-app-nodejs.contentful.com/safari-pinned-tab.svg	(from https://the-example-app-nodejs.contentful.com/)
13:18:29	5336/5336	---M--	200	added ('OK')	image/svg+xml	etag:W/%2214d8-161bd0123c0%22	https://the-example-app-nodejs.contentful.com/icons/icons.svg	C:/My%20Web%20Sites/exampleApp/the-example-app-nodejs.contentful.com/icons/icons.svg	(from https://the-example-app-nodejs.contentful.com/)
13:18:29	12859/12859	---M--	200	added ('OK')	text/html	etag:W/%22323b-Q/ThwFJydVS5Gs5COYy21H+beck%22	https://the-example-app-nodejs.contentful.com/settings	C:/My%20Web%20Sites/exampleApp/the-example-app-nodejs.contentful.com/settings.html	(from https://the-example-app-nodejs.contentful.com/)
13:18:30	12556/12556	---M--	200	added ('OK')	image/svg+xml	etag:W/%22310c-161bd0123c0%22	https://the-example-app-nodejs.contentful.com/images/the-example-app-logo-nodejs.svg	C:/My%20Web%20Sites/exampleApp/the-example-app-nodejs.contentful.com/images/the-example-app-logo-nodejs.svg	(from https://the-example-app-nodejs.contentful.com/)
13:18:30	12125/12125	---M--	200	added ('OK')	text/html	etag:W/%222f5d-uJ+HjxsoqfmhjiyHhQ3B5o+nPsA%22	https://the-example-app-nodejs.contentful.com/courses	C:/My%20Web%20Sites/exampleApp/the-example-app-nodejs.contentful.com/courses.html	(from https://the-example-app-nodejs.contentful.com/)
13:18:34	100983/100983	---M--	200	added ('OK')	image/png	etag:%22cb55bdb5daf8210087b3d590ce0179f6%22	http://images.ctfassets.net/qz0n5cdakyl9/6nvWJT1AkM64so8Auue4QQ/65944b70b9f8f736db7a4ccf01ff62cd/EngineeringHistory.png	C:/My%20Web%20Sites/exampleApp/images.ctfassets.net/qz0n5cdakyl9/6nvWJT1AkM64so8Auue4QQ/65944b70b9f8f736db7a4ccf01ff62cd/EngineeringHistory.png	(from https://the-example-app-nodejs.contentful.com/)
13:18:34	11830/11830	---M--	200	added ('OK')	text/html	etag:W/%222e36-3cvM28vk1zKmPMkTDoYTVfKDrT4%22	https://the-example-app-nodejs.contentful.com/courses/categories/getting-started	C:/My%20Web%20Sites/exampleApp/the-example-app-nodejs.contentful.com/courses/categories/getting-started.html	(from https://the-example-app-nodejs.contentful.com/)
13:18:35	12974/12974	---M--	200	added ('OK')	text/html	etag:W/%2232ae-1QiSVulKYWrwg7dXfR5kOmtsSqM%22	https://the-example-app-nodejs.contentful.com/courses/hello-contentful	C:/My%20Web%20Sites/exampleApp/the-example-app-nodejs.contentful.com/courses/hello-contentful.html	(from https://the-example-app-nodejs.contentful.com/)
13:18:35	4969/4969	---M--	200	added ('OK')	image/svg+xml	etag:W/%221369-161bd0123c0%22	https://the-example-app-nodejs.contentful.com/images/contentful-logo.svg	C:/My%20Web%20Sites/exampleApp/the-example-app-nodejs.contentful.com/images/contentful-logo.svg	(from https://the-example-app-nodejs.contentful.com/)
13:18:36	10521/10521	---M--	200	added ('OK')	text/html	etag:W/%222919-AppEC0GkhoeD4VW1kT9PKwzR90w%22	https://the-example-app-nodejs.contentful.com/imprint	C:/My%20Web%20Sites/exampleApp/the-example-app-nodejs.contentful.com/imprint.html	(from https://the-example-app-nodejs.contentful.com/)
13:18:36	1614/1614	---M--	200	added ('OK')	image/svg+xml	etag:W/%2264e-161bd0123c0%22	https://the-example-app-nodejs.contentful.com/images/icon-nodejs.svg	C:/My%20Web%20Sites/exampleApp/the-example-app-nodejs.contentful.com/images/icon-nodejs.svg	(from https://the-example-app-nodejs.contentful.com/)
13:18:36	21475/21475	---M--	200	added ('OK')	image/svg+xml	etag:W/%2253e3-161bd0123c0%22	https://the-example-app-nodejs.contentful.com/images/icon-dotnet.svg	C:/My%20Web%20Sites/exampleApp/the-example-app-nodejs.contentful.com/images/icon-dotnet.svg	(from https://the-example-app-nodejs.contentful.com/)
13:18:36	10930/10930	---M--	200	added ('OK')	text/html	etag:W/%222ab2-wJd8yMeTxdh0QcS2VJEbHya3QEQ%22	https://the-example-app-nodejs.contentful.com/?editorial_features=disabled	C:/My%20Web%20Sites/exampleApp/the-example-app-nodejs.contentful.com/index3865.html	(from https://the-example-app-nodejs.contentful.com/)
13:18:37	7731/7731	---M--	200	added ('OK')	image/svg+xml	etag:W/%221e33-161bd0123c0%22	https://the-example-app-nodejs.contentful.com/images/icon-ruby.svg	C:/My%20Web%20Sites/exampleApp/the-example-app-nodejs.contentful.com/images/icon-ruby.svg	(from https://the-example-app-nodejs.contentful.com/)
13:18:37	2440/2440	---M--	200	added ('OK')	image/svg+xml	etag:W/%22988-161bd0123c0%22	https://the-example-app-nodejs.contentful.com/images/icon-php.svg	C:/My%20Web%20Sites/exampleApp/the-example-app-nodejs.contentful.com/images/icon-php.svg	(from https://the-example-app-nodejs.contentful.com/)
13:18:37	1370/1370	---M--	200	added ('OK')	image/svg+xml	etag:W/%2255a-161bd0123c0%22	https://the-example-app-nodejs.contentful.com/images/icon-python.svg	C:/My%20Web%20Sites/exampleApp/the-example-app-nodejs.contentful.com/images/icon-python.svg	(from https://the-example-app-nodejs.contentful.com/)
13:18:37	1855/1855	---M--	200	added ('OK')	image/svg+xml	etag:W/%2273f-161bd0123c0%22	https://the-example-app-nodejs.contentful.com/images/icon-swift.svg	C:/My%20Web%20Sites/exampleApp/the-example-app-nodejs.contentful.com/images/icon-swift.svg	(from https://the-example-app-nodejs.contentful.com/)
13:18:38	1691/1691	---M--	200	added ('OK')	image/svg+xml	etag:W/%2269b-161bd0123c0%22	https://the-example-app-nodejs.contentful.com/images/icon-java.svg	C:/My%20Web%20Sites/exampleApp/the-example-app-nodejs.contentful.com/images/icon-java.svg	(from https://the-example-app-nodejs.contentful.com/)
13:18:38	2732/2732	---M--	200	added ('OK')	image/svg+xml	etag:W/%22aac-161bd0123c0%22	https://the-example-app-nodejs.contentful.com/images/icon-android.svg	C:/My%20Web%20Sites/exampleApp/the-example-app-nodejs.contentful.com/images/icon-android.svg	(from https://the-example-app-nodejs.contentful.com/)
